symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
PRIME,Echelon Prime,8,0,32,OK,0.18,0.18,OK,['ETH'],
PROM,Prom,8,0,32,OK,0.12,0.12,OK,['ETH'],
PUFFER,Puffer,8,0,32,OK,3,3,OK,['ETH'],
PUNDIX,Pundi X,8,0,32,OK,2.6,2.6,OK,['ETH'],
PYR,Vulcan Forged,8,0,32,OK,0.49,0.49,OK,['ETH'],
PYTH,Pyth Network,6,0,100,OK,0.4,0.4,OK,['SOL'],
QKC,QuarkChain,8,0,32,OK,110,110,OK,['ETH'],
QNT,Quant,8,0,32,OK,0.0091,0.0091,OK,['ETH'],
QTUM,Qtum,8,0,20,OK,0.006,0.006,OK,['QTUM'],
RAD,Radworks,8,0,32,OK,1.1,1.1,OK,['ETH'],
RARE,SuperRare,8,0,32,OK,16,16,OK,['ETH'],
RAY,Raydium,4,0,100,OK,0.034,0.034,OK,['SOL'],
RDNT,Radiant Capital,8,0,100,OK,7.8,7.8,OK,['ARB'],
RENDER,Render,8,0,100,OK,0.02,0.02,OK,['SOL'],
REQ,Request Network,8,0,32,OK,6.9,6.9,OK,['ETH'],
REZ,Renzo,8,0,32,OK,37,37,OK,['ETH'],
RLC,iExec RLC,8,0,32,OK,0.65,0.65,OK,['ETH'],
RON,Ronin,8,0,64,OK,0.002,0.002,OK,['RON'],
ROSE,Oasis Network,8,0,10,OK,0.01,0.01,OK,['ROSE'],
RPL,Rocket Pool,8,0,32,OK,0.14,0.14,OK,['ETH'],
RSR,Reserve Rights,8,0,32,OK,120,120,OK,['ETH'],
RUNE,THORChain,8,0,1,OK,0.01,0.01,OK,['RUNE'],
RVN,Ravencoin,8,0,60,OK,0.1,0.1,OK,['RVN'],
S,Sonic (prev. FTM),8,0,32,OK,0.002,0.002,OK,['S'],
SAFE,Safe,8,0,32,OK,1.7,1.7,OK,['ETH'],
SAGA,Saga,8,0,1,MAINTENANCE,0.01,0.01,MAINTENANCE,['SAGA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
SAND,The Sandbox,8,0,32,OK,2.6,2.6,OK,['ETH'],
SCR,Scroll,8,0,64,OK,1,1,OK,['SCR'],
SEI,Sei,8,0,1,OK,0.1,0.1,OK,['SEI'],
SFP,SafePal,8,0,35,OK,0.17,0.17,OK,['BSC'],
SHIB,Shiba Inu,2,0,32,OK,60000,60000,OK,['ETH'],
SKL,SKALE Network,8,0,32,OK,28,28,OK,['ETH'],
SLF,Self Chain,8,0,32,MAINTENANCE,0,0,MAINTENANCE,['SLF'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
SLP,Smooth Love Potion,8,0,32,OK,410,410,OK,['ETH'],
SNT,Status,8,0,32,OK,29,29,OK,['ETH'],
SNX,Synthetix,8,0,32,OK,0.86,0.86,OK,['ETH'],
SOL,Solana,8,0,100,OK,0.001,0.001,OK,['SOL'],
SPX,SPX6900,8,0,32,OK,1.7,1.7,OK,['ETH'],
SSV,ssv.network,8,0,32,OK,0.084,0.084,OK,['ETH'],
STG,Stargate Finance,8,0,32,OK,3.6,3.6,OK,['ETH'],
STMX,StormX,8,0,32,DELISTED,210,210,DELISTED,['ETH'],
STORJ,Storj,8,0,32,OK,2.6,2.6,OK,['ETH'],
STRAX,Stratis,8,0,32,OK,0.002,0.002,OK,['STRAX'],
STRK,Starknet Token,8,0,64,OK,4.3,4.3,OK,['ETH'],
STX,Stacks,8,0,3,OK,0.1,0.1,OK,['STX'],
SUI,Sui,8,0,1,OK,0.02,0.02,OK,['SUI'],
SUPER,SuperVerse,8,0,32,OK,1.4,1.4,OK,['ETH'],
SUSHI,SushiSwap,8,0,32,OK,1.1,1.1,OK,['ETH'],
SWEAT,SWEAT,8,0,32,OK,130,130,OK,['ETH'],
SWELL,Swell Network,8,0,32,OK,64,64,OK,['ETH'],
SXP,Solar,8,0,64,MAINTENANCE,0.004,0.004,MAINTENANCE,['SXP'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
SYN,Synapse,8,0,32,OK,3.2,3.2,OK,['ETH'],
SYRUP,Maple Finance,8,0,32,OK,5.9,5.9,OK,['ETH'],
T,Threshold,8,0,32,OK,45,45,OK,['ETH'],
TAI,TARS AI,8,0,100,OK,0.69,0.69,OK,['SOL'],
TAIKO,Taiko,8,0,32,OK,0.96,0.96,OK,['ETH'],
TAO,Bittensor,8,0,10,OK,0.01,0.01,OK,['TAO'],
THE,THENA,8,0,64,OK,0.24,0.24,OK,['BSC'],
THETA,Theta Network,8,0,0,MAINTENANCE,0,0,MAINTENANCE,['THETA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
TIA,Celestia,8,0,1,OK,0.05,0.05,OK,['TIA'],
TLM,Alien Worlds,4,0,32,OK,130,130,OK,['ETH'],
TNSR,Tensor,8,0,100,OK,0.17,0.17,OK,['SOL'],
TOKEN,TokenFi,8,0,32,OK,6.2,6.2,OK,['BSC'],
